,Company,Industry,CEO,Company Size,Revenue
204,Aspiree Inc.,HR Consulting,,,
205,Novare,,,,
206,Novare,,,,
207,NYGC Services Inc.,,,,
208,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
209,Qiagen,Manufacturing,Peer Schatz,"1001 to 5,000",P1 million to P5 million
210,NYGCI,Staffing & Subcontracting,,,
211,Sprout Solutions PH,Information Technology,,,
212,JLL,Real Estate,Christian Ulbrich,"more than 10,000",more than $10B (USD)
213,"Insight Enterprises, Inc.",Information Technology,Joyce Mullen,"more than 10,000",P5 billion to P10 billion
214,SMDC,"Construction, Repair & Maintenance Services",,,
215,EMAPTA,Business Consulting,Tim Vorbach,"5,001 to 10,000",
216,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
217,Asticom,Human Resources & Staffing,,,
218,Topcon,Electronics Manufacturing,Ray O'Connor,"1001 to 5,000",more than $10B (USD)
219,Unilever,Retail & Wholesale,Paul Polman,"more than 10,000",more than $10B (USD)
220,Acestar International Services Corp,Transportation & Logistics,,,
221,AOSP - Manila,Retail & Wholesale,Andrew Jassy,"more than 10,000",more than $10B (USD)
222,Frontier,Management & Consulting,弓立昌輝,,
223,Outsource Accelerator,Human Resources & Staffing,,,
224,PSC Biotech,Pharmaceutical & Biotechnology,,51 to 200,P5 million to P25 million
225,Johnson Controls,Manufacturing,George Oliver,"more than 10,000",more than $10B (USD)
226,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
227,Inchcape Digital Delivery Center Philippines,,,,
228,Sigma Dynamics and Professionals Placement Agency,Human Resources & Staffing,,11 to 50,P1 million to P5 million
229,Concentrix,Information Technology Support Services,Chris Caldwell,"more than 10,000",P1 billion to P5 billion
230,Arbete Careers,Healthcare,,,
231,Lancesoft Philippines Limited Inc.,,,,
232,Jaya Guna Lancar (JGL) INC.,,,,
233,Five9,Telecommunications,Rowan Trollope,"1001 to 5,000",P100 million to P500 million
234,HealthRecon Connect,,,,
235,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
236,Power Integrations,Manufacturing,Balu Balakrishnan,"501 to 1,000",P500 million to P1 billion
237,IBM Business Services inc,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
238,Lancesoft,Information Technology,,"1001 to 5,000",P100 million to P500 million
239,Lancesoft,Information Technology,,"1001 to 5,000",P100 million to P500 million
240,Hindustan Unilever,Retail & Wholesale,Sanjiv Mehta,,
241,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
242,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
243,National Grid Corporation of the Philippines,"Energy, Mining & Utilities",,"1001 to 5,000",
244,Cognizant Technology Solutions Philippines Inc,Information Technology,"Brian Humphries, Chief Executive Officer","more than 10,000",P5 billion to P10 billion
245,AIA Group,Insurance,,51 to 200,P5 million to P25 million
246,FPT Software,Information Technology,,"1001 to 5,000",P25 million to P100 million
247,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
248,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
249,Deloitte,Management & Consulting,Punit Renjen,"more than 10,000",P1 billion to P5 billion
250,Infor SEA Pte Ltd,Information Technology,Kevin Samuelson,"more than 10,000",P1 billion to P5 billion
251,Arcadis,Management & Consulting,Peter Oosterveer,"more than 10,000",P1 billion to P5 billion
252,The Dairy Farm Company Limited ROHQ,,,,
253,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
254,Arup,Management & Consulting,Alan Belfield,"more than 10,000",P500 million to P1 billion
255,J-K Network Manpower Services,,,,
256,Codeninja,2010,,11 to 50,
257,Talentium Inc.,Human Resources & Staffing,,,
258,iSupport Worldwide,Human Resources & Staffing,Chris Van Vladricken,"501 to 1,000",
259,Arup,Management & Consulting,Alan Belfield,"more than 10,000",P500 million to P1 billion
260,Nezda Technologies,Staffing & Subcontracting,,201 to 500,
261,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
262,Sungil Philippines Corporation,,,,
263,Avaloq,Hotels & Travel Accommodation,,"1001 to 5,000",P100 million to P500 million
264,PM Consulting,Media & Communication,,,
265,Hunter's Hub Inc.,HR Consulting,,,
266,"CIS Bayad Center, Inc.",,,,
267,Macquarie Group,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
268,Five9 Inc.,Telecommunications,Rowan Trollope,"1001 to 5,000",P100 million to P500 million
269,Macquarie Group,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
270,Ascentis Pte Ltd,Information Technology,,,
271,CABLEKON ENGINEERING SERVICES,Construction,,,
272,Analog Devices,Information Technology,Vincent T. Roche,"5,001 to 10,000",P1 billion to P5 billion
273,SariSuki,,,,
274,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
275,Appen,Information Technology,Mark Brayan,201 to 500,P25 million to P100 million
276,Google,Information Technology,Sundar Pichai,"more than 10,000",more than $10B (USD)
277,Franklin Baker,Manufacturing,,,
278,AOSP - Manila,Retail & Wholesale,Andrew Jassy,"more than 10,000",more than $10B (USD)
279,DXC Technology,Information Technology,"Mike Salvino, Chairman, President & CEO","more than 10,000",P5 billion to P10 billion
280,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
281,Fortinet,Information Technology,Ken Xie,"1001 to 5,000",P1 billion to P5 billion
282,HCL Technologies Limited,Information Technology,C Vijayakumar,"more than 10,000",more than $10B (USD)
283,IBM Solutions Delivery,Information Technology,Arvind Krishna,"more than 10,000",more than $10B (USD)
284,Joseph Riley Recruitment Services Inc,,,,
285,iSupport Worldwide,Human Resources & Staffing,Chris Van Vladricken,"501 to 1,000",
286,New York Global Consultants Inc.,Human Resources & Staffing,,11 to 50,P5 million to P25 million
287,NICE CXone,Management & Consulting,,"501 to 1,000",
288,Macquarie Group Limited,Financial Services,Shemara Wikramanayake,"more than 10,000",more than $10B (USD)
289,Xurpas Enterprise,,,,
290,"Monroe Consulting Phils., Inc.",Human Resources & Staffing,,51 to 200,
291,"Land Registration Systems, Inc.",,,201 to 500,
292,Trend Micro,Information Technology,Eva Chen,"5,001 to 10,000",P1 billion to P5 billion
293,National Grid Corporation of the Philippines,"Energy, Mining & Utilities",,"1001 to 5,000",
294,"GMA Network, Inc.",Media & Communication,,"1001 to 5,000",
295,Codeninja,2010,,11 to 50,
296,SM Development Corporation,Real Estate,,,
297,Deployed Philippines Inc,Staffing & Subcontracting,"Geoff Baldwin, Founder","501 to 1,000",
298,Robert Bosch Engineering and Business Solutions Limited,Retail & Wholesale,,,
299,Career Professionals Inc,Human Resources & Staffing,,less than 10,P1 million to P5 million
300,LPT Mining and Trading Inc.,,,,
301,ESCA Incorporated,"Construction, Repair & Maintenance Services",,51 to 200,
302,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
303,WTW,Management & Consulting,Carl Hess,"more than 10,000",more than $10B (USD)
304,TE Connectivity,Manufacturing,Terrence Curtin,"more than 10,000",more than $10B (USD)
305,EPS Staffing Service Group Inc,,,,
306,FOTAMA Engineering Consultant,,,,
307,Cathay Pacific,Real Estate,,"more than 10,000",more than $10B (USD)
308,Chevron,"Energy, Mining & Utilities",Michael K. Wirth,"more than 10,000",more than $10B (USD)
309,Universal Access and Systems Solutions Inc,,,,
310,DTCC,Financial Services,Frank La Salla ,"1001 to 5,000",P1 billion to P5 billion
311,Blueline Active Asia,,,,
312,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
313,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
314,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
315,BrightBid,Media & Communication,,,
316,Codeninja,2010,,11 to 50,
317,Nimbyx,,,,
318,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
319,Chevron,"Energy, Mining & Utilities",Michael K. Wirth,"more than 10,000",more than $10B (USD)
320,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
321,Manila Recruitment,Information Technology,,11 to 50,
322,China First Highway Engineering Company,,,,
323,Reed Elsevier Philippines,Information Technology,Kumsal Bayazit,"5,001 to 10,000",P5 billion to P10 billion
324,EK Consulting and Management Services,2017,,51 to 200,
325,Team Pacific Corporation,"Construction, Repair & Maintenance Services",,"501 to 1,000",
326,Equitable Computer Services,Information Technology,,51 to 200,
327,Aurecon,Management & Consulting,,"5,001 to 10,000",P500 million to P1 billion
328,Reeracoen Philippines,Legal,,,
329,Reeracoen Philippines,Legal,,,
330,Elabram Systems,Information Technology,,,
331,"Unilab, Inc.",,,,
332,DB SCHENKER,Transportation & Logistics,Jochen Thewes,"more than 10,000",more than $10B (USD)
333,Vertiv Co.,Telecommunications,Rob Johnson,"more than 10,000",P1 billion to P5 billion
334,ATR Asset Management (ATRAM),,,,
335,"Global Quest Consulting Group, Inc.",,,,
336,Unilever,Retail & Wholesale,Paul Polman,"more than 10,000",more than $10B (USD)
337,Aboitiz Power Generation Group,1998,,,
338,"FASTEL SERVICES, INC.",,,,
339,Atos,Information Technology,Nourdine Bihmane ,"more than 10,000",more than $10B (USD)
340,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
341,"Insight Enterprises, Inc.",Information Technology,Joyce Mullen,"more than 10,000",P5 billion to P10 billion
342,Satellite Office Solutions Pty Ltd,,,,
343,AIRSPEED EXPRESS,,,,
344,Publicis Groupe,Media & Communication,,"more than 10,000",P5 billion to P10 billion
345,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
346,"Advanced Energy Industries, Inc",Manufacturing,Steve Kelley,"more than 10,000",P100 million to P500 million
347,Excelitas Technologies,Manufacturing,"David Nislick, Ph.D. Chief Executive Officer","5,001 to 10,000",P1 billion to P5 billion
348,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
349,Excelitas Technologies,Manufacturing,"David Nislick, Ph.D. Chief Executive Officer","5,001 to 10,000",P1 billion to P5 billion
350,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
351,T.Y. Lin International,Architectural & Engineering Services,Matthew Cummings,"5,001 to 10,000",P500 million to P1 billion
352,Tyler Technologies,Information Technology,Lynn Moore,"5,001 to 10,000",P500 million to P1 billion
353,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
354,SYSTRA Philippines Incorporated,,,,
355,KPMG R.G. Manabat & Co.,Accounting & Tax,Marie Guillemot,"more than 10,000",P1 billion to P5 billion
356,Chiyoda,,,201 to 500,
357,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
358,Incuventure Partners Corporation,,,,
359,Incuventure Partners Corporation,,,,
360,DataSpark Pte Ltd,Information Technology,,,
361,Emerson,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
362,VikingCloud,,,,
363,MASE HOLDINGS INC.,,,,
364,"John Clements Consultants, Inc.",Management & Consulting,,"1001 to 5,000",
365,WONESE Phils Inc,,,,
366,Accenture,Information Technology,Julie Sweet,"more than 10,000",more than $10B (USD)
367,Gomeco Group of Companies,,,51 to 200,
368,Digital Consulting PH,Human Resources and Staffing,,less than 10,
369,NovaSource Power,"Energy, Mining & Utilities",,,
370,Code Ninja IT Solutions Inc,,,,
371,Expedock,Information Technology,,,
372,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
373,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
374,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
375,COMMSEC INC,Telecommunications,,,
376,TASQ Staffing Solutions,,,,
377,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
378,J-K Network SERVICES,HR Consulting,,51 to 200,
379,iSupport Worldwide,Human Resources & Staffing,Chris Van Vladricken,"501 to 1,000",
380,Sprout Solutions PH,Information Technology,,,
381,Rhino Development,,,,
382,Staizen,Retail & Wholesale,,,
383,Kroll,Management & Consulting,,"5,001 to 10,000",P5 million to P25 million
384,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
385,Security Bank Careers,Financial Services,,,
386,RELX,Information Technology,,,
387,codapayments,Financial Services,,,
388,codapayments,Financial Services,,,
389,ING Business Shared Services B.V.,,,,
390,Prov International (Philippines) Inc,,,,
391,DXC Technology,Information Technology,"Mike Salvino, Chairman, President & CEO","more than 10,000",P5 billion to P10 billion
392,Maynilad,,,,
393,FAST PROCESSING DATA TECH INC.,,,,
394,Virtual-Ninja,,,,
395,Laguna Games,,,,
396,Hunter's Hub Inc.,HR Consulting,,,
397,Amadeus,Retail & Wholesale,,,
398,"Xurpas Enterprise, Inc.",,,,
399,Emerson Philippines,Manufacturing,"Lal Karsanbhai, Chief Executive Officer","more than 10,000",P1 billion to P5 billion
400,Jollibee Foods Corporation,Restaurants & Food Service,Ernesto Tanmantiong,"more than 10,000",P1 billion to P5 billion
401,Transportify,Transportation & Logistics,,51 to 200,
402,Colliers International Philippines,Real Estate,Jay Hennick,"more than 10,000",P1 billion to P5 billion
403,Colliers International Philippines,Real Estate,Jay Hennick,"more than 10,000",P1 billion to P5 billion
404,Monroe Consulting Group Philippines,,,,
405,Manila Recruitment,Information Technology,,11 to 50,
406,"August 99, Inc",Information Technology,,201 to 500,
407,Greenstone Packaging Corporation,,,,
408,Maersk,Transportation & Logistics,Søren Skou,"more than 10,000",more than $10B (USD)
409,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
410,RingCentral,Telecommunications,Vlad Shmunis,"5,001 to 10,000",P1 billion to P5 billion
411,Shell,"Energy, Mining & Utilities",Ben Van Beurden,"more than 10,000",more than $10B (USD)
412,Jollibee Foods Corporation,Restaurants & Food Service,Ernesto Tanmantiong,"more than 10,000",P1 billion to P5 billion
413,EBM Talent Bucket Inc.,,,,
414,Manulife,Financial Services,Roy Gori,"more than 10,000",P25 million to P100 million
415,FactSet Research Systems,Information Technology,Philip Snow,"5,001 to 10,000",P25 million to P100 million
416,CGI Philippines Incorporated,Information Technology,George D. Schindler,"more than 10,000",more than $10B (USD)
417,Eastvantage Business Solutions Inc.,Information Technology,,,
418,Eastvantage Business Solutions Inc.,Information Technology,,,
419,Fortinet,Information Technology,Ken Xie,"1001 to 5,000",P1 billion to P5 billion
420,EPS Staffing,,,,
421,"Liberty Flour Mills, Inc.",,,,
422,A7 Recruitment Corporation,,,,
423,Greenfield Development,Real Estate,,,
