,Job Title,Company,Company Rating,Location,Salary,Job Description
64,Data Engineer,Eclaro Business Solutions Incorporated,3.9 out of 5 stars from 36 employee ratings,Manila,,"1. Create and maintain optimal data pipeline architecture.

2. Analyze and organize raw data:
Assemble large, complex data sets that meet functional / non-functional business requirements.

3. Build data systems and pipelines:
Identify, design, and implement internal process improvements such as automating legacy manual processes, optimizing near-real time data delivery, delivering cloud-based data platforms including data vault model, data stores, data marts.
4. Optimize extraction, load, transformation of data from a wide variety of structured, unstructured, on-premises and cloud based data sources using various SQL, CDC and Big Data methodologies.
5. Create and maintain proper MDM, data conformity, data lineage using modern tools.

6. Prepare data for prescriptive and predictive modelling:
Build analytics tools with insight into the data pipeline for various KPIs such as written and earned premiums, incurred losses, expenses.
7. Work with data and analytics teams to improve functionality and operational efficiency across data systems.
8. Work within a cross-functional team consisting of a data analyst, data engineers, and QA both on- and off-shore, FTE and vendor staffed.

Permanent WFH - Nightshift - Direct Hire"
65,Senior Data Engineer Lead (Senior Data Lead),Novare Technologies Inc,3.4 out of 5 stars from 10 employee ratings,Philippines,,"Bachelor's Degree in Computer Science/Information Technology or Mathematics or equivalent experience preferred
At least 4 years of working experience in creating models, reports, and dashboards
Advance knowledge of collecting and culling structured and unstructured data
Experience with a wide range of reporting and data tools
Apply statistical or data science models to reports or visualization
Strong database development skills and hands-on experience with database development using stored procedures, PL/SQL and SQL primarily in Oracle

Senior Data Engineer Lead (Senior Data Lead)

Bachelor's Degree in Computer Science/Information Technology or Mathematics or equivalent experience preferred
At least 4 years of working experience in creating models, reports, and dashboards"
66,Data Analyst/ Data Engineer,Aurecon Group,,Manila,,"As a Business Analytics Consultant, you will be joining a rapidly growing team in an emerging unit of the business where your expertise will lend value to our developing client offerings and internal processes. Your data analytics and business acumen will give you the confidence to work closely with clients from an array of public and private sector environments as well as work collaboratively in a multidisciplinary environment day to day.
Here are the key things we are currently working with to ‘bring ideas to life’:
Analyse data, generate insights and communicate by creating slides, charts and reports (PowerPoint)
Acquire, filter, update and clean data and create simple consolidated flat file datasets for analysis
Identify, analyse, and interpret trends or patterns in complex data sets and recommend improvement opportunities
Design and develop dashboards and data visuals to assist effective and efficient decision-making and storytelling
Support the development and update of simulation models

Requirements for the role:
+3-5 yrs in data and analytics or consulting environment
Ability to write in concise and business English in PowerPoint
Create charts in both Excel and PowerPoint/PowerPivot
Must have: Excel and Pivot Tables
Desired 1 or more of the following skills:
PowerQuery
VBA programming in excel
Data extraction, querying, data cleaning and transformation experience with R or Python (using packages such a SQLite, Pandas, Dplyr etc.)
Charting experience with R or Python (e.g. Ggplot2, Seaborn and others)
Data visualisation through Microsoft Power BI ,
Other advanced skills we are also looking for (but not necessary)
Computer science/ software engineer background
Ability to write simple loops, scripts and functions in Python or R to automate analysis
Financial modelling and analysis
We know today’s complex challenges can only be solved through bringing together diverse teams of people from across our business, so there will be opportunities for you to apply your skills and creativity to projects in other geographies and markets."
67,VTR Ingest Engineer,"GMA Network, Inc.",4 out of 5 stars from 144 employee ratings,Manila,,"Position Responsibilities:
Performs ingest of materials submitted for broadcast to the transmission and previews the ingested server copy to ensure essential data were encoded properly and of the same quality as the master tape submitted, guaranteeing material compliance to broadcast standards.


Job Requirements:
a) Graduate of BS ECE;

b) With experience in related field, or should have at least rendered OJT in a broadcast company;

c) Computer Literate;

d) Basic knowledge in Broadcast Automation;

e) Can operate Betacam / DVC machine;

f) Above average written and oral communication skills;

g) Normal aural and visual acuity.


Other Information:
a) Willing to work extended hours and at different shifts


Required Years of Work Experience:
1 to 5 years

Employment Type:
Full Time


No. of Vacancies:
1


Job Specialization:
Engineering - Electronics and Communications"
68,Drive Test Engineer,Hunter's Hub Inc.,,Cavite City,"PHP 45,000 a month","Qualifications
Preferably Electronics and Communications Engineering (ECE) or Computer Engineering Graduate
Willing to be relocated (must be) Willing to be trained
Knowledgeable of using TEMS Investigation & solving eqiupments while in-field.
Basic English Skills: can communicate simple conversations
Can use Computer, have smartphone. Literate in Microsoft Outlook, Gmail and Webmail (google, yahoo) is a big advantages
Perseverance and persistence, withstanding high work pressure.
Job Description
Perform the drive test (according to project requirements)
Ensure the test methodology and scenarios according to the process and instructions of the Team Leader.
Follow the drive test route and meet the KPI target as well as collect full KPIs as required by specific testing and technology. Prepare necessary facilities for the test (Test tools, SIM card, Server, DC-AC Inverter, Battery.)
Solve arising problems during the test Manage test costs according to company regulations and budgets
Make the test reports as required by the project
Performs optimization if have poor coverage and do some antenna adjustment.
Monitors Site Status before performing Drive Test Measures and Calculates Actual Site Physical Parameters Gathers and Analyzes data of WCDMA networks (Single Site Verification).
Reports all the problems encountered in the Sites
Job Type: Full-time
Salary: Up to Php45,000.00 per month
Benefits:
Additional leave
Health insurance
Life insurance
Opportunities for promotion
Paid training
Pay raise
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental pay types:
13th month salary
Overtime pay
Ability to commute/relocate:
Cavite City, Cavite: Reliably commute or planning to relocate before starting work (Required)
Education:
Bachelor's (Required)
Language:
English (Required)
Willingness to travel:
100% (Required)"
69,Data Engineer,"Global Quest Consulting Group, Inc.",2.3 out of 5 stars from 3 employee ratings,Mandaluyong,,"Qualification:
- Expertise in SQL and data warehousing
- Relevant working experience in ETL, preferably Microsoft SQL SSIS or AWS Glue - Experience in working with APIs for data ingestion
- Working knowledge in data-oriented and statistical modeling programming languages such as Python, Spark, R, or Java.
- Working knowledge of data visualization tools and how they function.
--- Experience in end-to-end dashboard creation using Tableau Desktop.
--- Experience in Tableau Server support
--- Able to easily understand the context of datasets and how to use them
--- Experience in supporting the data requirements of a sales or marketing organization
Job Type: Full-time
Benefits:
Flexible schedule
Health insurance
Schedule:
8 hour shift
Ability to commute/relocate:
Mandaluyong City: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 2 years (Required)"
70,Data Engineer,Tri-Unity Talent Sourcing & HR Services,,Mandaluyong,,"Data Engineer Job Description
A data engineer is responsible for collecting, managing, and converting raw data into information that can be interpreted by data scientists and business analysts. Data accessibility is their ultimate goal, which is to enable organizations to utilize data for performance evaluation and optimization.
Job Types: Full-time, Permanent
Supplemental pay types:
13th month salary"
71,"Admin, Operations and Researcher Needed for a Fast growing Web3 Protocol",GDA Fund,,Manila,"PHP 70,000 a month","Admin, Operations and Researcher Needed for a Fast growing Web3 Protocol
We are seeking a committed Remote Admin, Operations and Researcher with a keen entrepreneurial spirit, self-motivated, getting-things-done mindset, and multi-tasker to lead our Operations & HR team for a large technology project in Sydney, AU. You will be entrusted with complex duties in operations, research, and people management.
This is a full time role with a salary from $1200 to $5500 USD depending in the commitment and location.
If you are passionate about problem-solving, advancing your career, and working with the top 1% of industry professionals, then join us!
In addition, you will have the unique opportunity to work with a cross-functional team of innovators, C-level executives, and a large team based globally in Sydney, London, and New York.
You will be exposed to all levels of research, business, operations, and management. Specifically, we are looking for a candidate with an eye for detail, superior organizational and people skills, and a keen desire to learn new things while building a sound professional network.
About us;
We are a 7-year-old Web3 and digital asset research, technology, and engineering firm based out of Sydney, London, and New York. We are building a petabyte-scale open data lake for crypto and web3, so everyone has access to quality data for free forever. Think about it like Wikipedia or Google for crypto; you can find any information, records, transactions or data on Web3 and crypto since the beginning of crypto/web3. L3 Atom will provide historical data and live data for free to anyone.
We are an ecosystem of talented engineers, traders, extreme developers solving the blockchain trilemma through building the major blocks and infrastructures for Web 3.0. Our core technology includes an open-source decentralized data lake and an end-to-end decentralized application development environment.
Expectations and responsibilities:
Operations
Provide inspired leadership for the organization
Develop, implement, and review operational practises and procedures
Help promote a company culture that encourages top performance and high morale
Oversee budgeting, reporting, planning, and auditing
Work with senior stakeholders (project managers, product managers)
Work with the C-level to determine values and mission, and plan for short and long-term goals
Identify and address problems and opportunities for the protocol
Build alliances and partnerships with other organizations
Reach out and coordinate with resources, external and internal team members
Organize and Implement meetings and events
Gather and organize data for records and research purposes
Maintain progress report databases and other protocol records
Talent Acquisition
Plan and develop the protocol’s long term hiring needs
Increase the talent pool base (Engineers, developers)
Perform due diligence on resources and recruitment leads
Maintain and manage leads, contacts and databases
Key Benefits of the Role:
Challenging yourself and solid career advancement.
Be at the forefront of an exponentially growing industry with cutting edge technology.
Build a professional network and meet like-minded people.
Competitive salaries, bonuses and other financial incentives.
What do we expect from you:
Excellent communicator
Be open-minded and eager to learn
Commitment to excellence
A team player
Offering quality to all stakeholders
Thinking out of the box - a true innovator
You will be asked to answer the following questions when submitting a proposal:
Among different projects in the blockchain, what do you like the most?
What's your best experience in being an operations manager?
Are you able to work in a quick paced, agile environment? How do you cope with pressure?
What made you interested to apply in our company?
How will you be able to commit for a long term role? What are the areas of expertise you want to develop?
Skills and Expertise
CommunicationsCandidate SourcingHuman Resource ManagementResearcherInterpersonal SkillsManagement SkillsProject ManagementAgile Project Management
Job Type: Full-time
Salary: From Php70,000.00 per month
Schedule:
12 hour shift
Monday to Friday
Weekends
Expected Start Date: 10/31/2022"
72,Data Engineer,Pride Consulting Group Inc.,,Makati,"PHP 35,000 - PHP 40,000 a month","Our client is a leading real estate services and brokerage company in Makati City.
We are looking for Data Engineers who are adept in designing scalable data infrastructure and administering databases.
QUALIFICATIONS:
Must have previous experience on systems analysis and design and database administration.
At least 3+ years working experience with SQL, Python
Familiarity with GraphQL (Preferably Hasura)
AWS Lambda to create Python scripts
Experience with Kinesis Data Stream and Firehose to upload data to and from S3
Experience with Beautiful Soup, Selenium, Pandas, Numpy, and other related Python packages
Only qualified candidates will be notified
Job Type: Full-time
Salary: Php35,000.00 - Php40,000.00 per month
Benefits:
Work from home
Schedule:
8 hour shift
Supplemental pay types:
13th month salary
Ability to commute/relocate:
Makati: Reliably commute or planning to relocate before starting work (Required)"
73,QAQC Engineer (Vermosa),Ayala Land,4.1 out of 5 stars from 23 employee ratings,Imus,,"Job Description:


Reviews the Technical specifications, drawing and assists the QAQC Supervisor in the preparation of the (STI) Submittal, Testing and Inspection Plans.
Monitors and assists the Engineering (TSD) in acquiring approval of submittals as required in the Work Activity Submittal (WAS) Phase of (QAC) Quality Assurance and Control.
Leads and provide supervision in the QAC inspection and monitoring of activities in the Work in Progress (WIP) phase of control.
Leads and provide supervision in the inspection of works from WAS up to the issuance of the Work Activity Completion (WAC) certificate. Works items without the WAC certificate may not be processed for billing.
Leads in the gathering of reports and documents required for the WAS, WIP, and WAC phases of control.
Leads in the gathering of data and reports for the Construction Quality Daily Reports (CQDR).
Leads in the preparation of close-out reports and documents.
QAQC’s representative in the processes related to the punch listing and initial handover of the works and activities to the Project Manager.
MDC’s representative in the conduct of the joint Equipment and Utilities Testing and Commissioning including all preliminary testing.
Promotes quality, environment, and health and safety in the workplace.
Performs other related tasks that may be assigned from time to time.



Job Qualifications:


Candidate must possess a Bachelor's/College Degree & must have Professional License (Passed Board/Bar/Professional License Exam), Architecture, Engineering (Civil) or equivalent.
Required skill(s): BOSH Training/OSH Practitioner.
At least 2 year(s) of working experience in the related field is required for this position.
Preferably 1-4 Yrs Experienced Employees specializing in Engineering - Civil/Construction/Structural or equivalent.
Willing to be assigned in Imus, Cavite.
1 Project Hire position(s) available."
74,Data Engineer,Schneider Electric,"3.9 out of 5 stars from 4,944 employee ratings",Taguig,,"#LI-Hybrid
Schneider Electric is actively recruiting and interviewing for future position of a results-oriented Data Engineer who will be responsible for helping build our data pipelines and will be also participating in setting the right Infrastructure and developing the needed tools for our Analytics.
The role requires you to:
Discover, gather and address technical and design requirements
Help architect our data platform & develop real-time apps ingesting large volume of data
Handles our data pipeline and contribute towards our data strategy and its execution
Architecting, building, testing & managing our data platform infrastructure from data collection to data processing & data storage
Develop, customize and manage integration tools, monitoring tools, databases, warehouses, and analytical systems
Qualifications
Job Qualification:
BS degree in Computer Science/Computer Engineering
Strong competencies in algorithms and software architecture
Technical expertise with data models, data mining, and segmentation techniques
Proficient in Amazon EMR to run Presto and Spark engine
3+ years of experience in developing APIs (REST & SOAP protocols)
3+ years of experience in using AWS cloud and its resources/services
3+ years experience of fullsoftware development lifecycle on BI projects and support experience
Strong experience in Relational Databases (MySQL, SQL Server, PostgreSQL Oracle 12c, Exasol etc, Redshift) and non-relational databases
Experience in the following components or similar: Informatica PowerCenter, PL, SQL, ODI
Analytical Data modelling knowledge (DWH, Star Schema, Kimball etc)
BI Tools: Tableau, Oracle Business Intelligence, Birst, PowerBI
Primary Location
: PH-00-Taguig
Other Locations
: PH-40-Cavite
Schedule
: Full-time
Unposting Date
: Ongoing"
75,Process Data Engineer - SAP S/4HANA,Shell,"3.9 out of 5 stars from 8,965 employee ratings",Makati,,"The Role
Purpose & Accountabilities
Support and execute CMMS (Computerized Maintenance Management System) build and assurance activities for identified projects across Upstream, Downstream and IG to deliver first time right data from project to operations and maintenance.
This includes delivery of quality asset data from the project to support the business to transition smoothly to run and maintain. This requires also close cooperation with other TAO units.
Execute and support the development of strategies and plans, in conjunction with the business and the project manager for CMMS build projects, as well as assurance and data quality activities in support of projects
Analyze technical data and documents and processes by working with engineering, maintenance, operations and project team & partners
Support the continuous improvement of the CMMS build processes and related team objectives
In partnership with Project Managers and stakeholders, provide support to identify benefits in the delivery of the CMMS projects.
Provide SME support to the project for the detailed activities and deliverables from the CMMS build. This includes supporting Identification of Safety Critical Elements and support to develop maintenance strategies and plans, as well as applying group standards associated with the CMMS data
Provide support to build Project dashboard, also manage and resolve any P2A CMMS project delivery issues
Provide expertise in the interpretation of asset data from engineering documents and drawings such as P & IDs and Single line diagrams.
Provide liaison and integration with the CP(Contracts and Procurement) Data organization in the development of the BOM and Material Master requirements
Network with counterparts and other levels of organization across the capital project space
Understand how information and technical data will be utilized within the site or location
Work with managers and the project specialists to help standardize processes, tools, methods, procedures for CMMS builds.
Capture learnings and best practices from the projects and update the learnings database
Skills & Requirements
University Degree in Mechanical, Instrumentation, Electronics & Communication, Electrical, Industrial or Chemical Engineering.
Required 2 to 3+yrs operational experience in engineering / technical jobs in at least one of the following areas:
Experience in Plant Maintenance area within a Manufacturing or Upstream environment as an engineering user of Computerized Maintenance Management Systems (CMMS), Web Integrity Management System (WIMS), and Engineering Document Management Systems (EDMS)
Experience in Technical Data and Documents management including processes and tools
Skill level in SAP PM Master data objects like Functional Location, Equipment, BoM, Class & Characteristics, Measuring Point, Work Center and Task List
Knowledge level in SAP Plant Maintenance Planning and Transactional Data Objects like Maintenance Plan, Maintenance Item, Notification, Work Order
Understanding of Plant Maintenance Data standards and industry standards such as ISO14224
Experience in data conversion phases: extraction, transformation, and load will be added value
Knowledge level in reading engineering drawings like PFS, PEFS, SLD’s
Additional Information
PowerBI visualization, Data Modelling and SQL competencies is preferred
Mass Data Tool proficiencies will be added advantage
Effective communication skill and stakeholder management
Ability to deal effectively with complexity and detail and to prioritize and ensure timely delivery for the area of responsibility
Flexible and adaptable to change, with track record of demonstrating initiative, analytical capabilities, and issue resolution.
Plant maintenance Experience preferably in Oil & Gas/ Heavy Engineering/Power Plant
MS Office including MS Access /Excel/Word/Powerpoint/Outlook/MS Project
Company Description
Shell Business Operations (SBO) Manila forms the operational backbone of business processes that help deliver Shell’s business solutions across the globe. We are focused on driving excellent corporate performance in Finance, Human Resources, Customer Service, Order-to-Delivery, and Contracting and Procurement. Diversity is key at SBO Manila, and our employees reflect the innovation that stems from a diverse workforce. By joining the company, you will benefit from an industry-leading development program that will see you tap into a pool of expert knowledge that will help propel your career.
An innovative place to work
There’s never been a more exciting time to work at Shell. Everyone here is helping solve one of the biggest challenges facing the world today: bringing the benefits of energy to everyone on the planet, whilst managing the risks of climate change.
Our business has been built on a foundation of innovative technology and skilled employees. By providing energy to sustain people’s lives for more than a hundred years, Shell has become one of the world’s leading companies.
Join us and you’ll be adding your talent and imagination to a business with the ambition to shape the future. At Shell, everyone does their part.
An inclusive place to work
Shell is working to become one of the most diverse, equitable, and inclusive organizations in the world. We are taking steps to create an environment where everyone – from our employees, to our customers, partners, and suppliers – feels valued, respected, and has a strong sense of belonging.
To achieve this, we must ensure all people are treated fairly, irrespective of their race, color, religion, age, gender, sexual orientation, gender identity, marital status, disability, ethnic origin, nationality, or other status.
To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we are nurturing an inclusive environment – one where you can express your ideas, extend your skills, and reach your potential.
We’re closing the gender gap – whether that’s through action on equal pay or by enabling more women to reach senior roles in engineering and technology.
We’re striving to be a pioneer of an inclusive and diverse workplace, promoting equality for employees regardless of sexual orientation or gender identity.
We consider ourselves a flexible employer and want to support you finding the right balance. We encourage you to discuss this with us in your application.
A rewarding place to work
Combine our creative, collaborative environment and global operations with an impressive range of benefits and joining Shell becomes an inspired career choice.
We’re huge advocates for career development. We’ll encourage you to try new roles and experience new settings. By pushing people to reach their potential, we frequently help them find skills they never knew they had, or make career moves they never thought possible.

Disclaimer
Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date. Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Shell/Shell Group companies around the world. The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand. Shell is an Equal Opportunity Employer."
76,Data Engineer,Hunter's Hub Inc.,,Fort Bonifacio,"PHP 35,000 a month","Basic Skills Required for the Role in Data Engineering
Candidates aspiring to become Azure data engineer should have an understanding of the evolving data landscape. They should know about the evolution of data systems and their influence on data professionals.
Candidates should know the differences between on-premises and cloud data solutions. Furthermore, a clear understanding of business use cases of cloud technologies is also favorable.
Candidates should have a formidable understanding of the job role and responsibilities associated with an Azure data engineer. Also, candidates should have a comprehensive understanding of services on the Azure data platform.
SPECIALITY
Azure : Data Lake, Data Factory, Synapse Analytics (DW), PolyBase, Stream Analytics & Storage
Big Data Tech : Databricks, Spark
Database versions : Microsoft SQL Server 2005-2016, NoSQL
Languages : T-SQL, USQL, Python
BI Tools : SSRS, SSIS, Power BIWith exposure in Azure and SAP BO
Job Type: Full-time
Salary: Up to Php35,000.00 per month
Benefits:
Health insurance
Opportunities for promotion
Paid training
Work from home
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental pay types:
13th month salary
Overtime pay
Ability to commute/relocate:
Fort Bonifacio: Reliably commute or planning to relocate before starting work (Required)"
77,Data Engineer,"Vertere Global Solutions, Inc.",3.1 out of 5 stars from 10 employee ratings,Ortigas,"PHP 85,000 a month","We have openings for experienced DATA ENGINEER.
The primary responsibilities of the role are:
Intepret business requirements and technical specifications
Investigate, fix, and document reported issues
Test and validate existing reports
Create and maintain reports
Optimize scripts
Manipulate data using SSIS
Create and maintain technical documentation
Create efficient and functional scripts
The minimum qualifications for the role are:
SQL/SSIS
Background in creating datawarehouse, data preparation, extraction, transformation
Experience in Python is preferred
Must be willing to work in Ortigas
If interested, please submit your application with us, and we'll contact you.
Thank you.
Job Type: Full-time
Salary: From Php85,000.00 per month
Schedule:
8 hour shift"
78,Data Engineering,Accenture,"4 out of 5 stars from 22,531 employee ratings",Manila,,"Engineers undertake activities on a project-by-project basis, either individually or as part of a larger team, and in projects that will vary in duration. They develop and customize search application software for specific client projects in a variety of markets. They provide onsite analysis and written assessments of existing customer installations with recommendations for improvements or upgrades. They participate in the analysis and design of both internet and intranet-based search applications. Travel (to client sites) as needed is to be expected.

Key Responsibilities of the role include:
Design/codes applications following specifications using tools that will vary depending on the project, including but not limited to the following:

Programming Languages: Java, C# (.NET), Python, Perl, Groovy, JavaScript
Frameworks: Maven, Ant, Spring, Struts, Hibernate, WebAPI, AngularJS, BootStrap
Technologies: XML, XSLT, CSS/XHTML, SOAP
Security Protocols/Standards: Kerberos, LDAP
Graduate of bachelor’s degree preferably in IT/Computer Science or Engineering
Minimum of 2 years’ experience in full software development lifecycle
Programming Languages: Java, C# (.NET), Python, Perl, Groovy, JavaScript
Knowledgeable of current software engineering practices
Strong oral and written communication skills
Excellent client-facing skills
Open to Fresh Grads with IT courses or background"
79,Data Engineer,Thakral One Solutions Private Limited,,Manila,,"Talent. Technology. Trust.

Join our team and get cracking on creating new value propositions for clients. If you are passionate about technology, enjoy working with global teams to formulate and implement cutting-edge solutions, and are ready to get your hands deep into problem solving and consulting, Thakral One might be the right place for you. Clients trust us to solve their pressing problems through a combination of technology and data analytics, because we leave no stone unturned. If you have that commitment, we are the place for you.

Grow and explore.

Thakral One offers opportunities to grow professionally but in a family-oriented culture. Collaborate with teams on exciting projects, pursue regional assignment opportunities, and work alongside established industry-leaders. We will connect you to an ever-expanding network of people, learning, and perspectives that will not only enhance your career, but your ability to tackle complex problems with technology and process.

The role.

Works with the business analyst in the gathering and analysis of the functional and non-functional requirements for the solution providing the perspective for the various aspects of the data strategy including sourcing, storage and provision
Understands the business needs and data requirements in order to translate them into technical work products; Clarifies with the business analysts and other members of the team as necessary
Assists the solution architect with the features of the tool in order to properly consider possibilities and constraints for implementation
Assists the data architect in the definition of the design for data models/structures and data flow/integration processes
Actively participates in the understanding of the data sources and designs the extraction, transformation, cleansing and integration processes that may have to be applied based on the gathered rules
Leads the development and execution of queries/data ingestion processes from the data source; This may be batch or real-time extraction depending on the need of the customer
Leads the development of the technical work products and build specialization in a combination of the following:
ETL packages
Includes the batch or real-time extraction, transformation, integration and loading of data within a traditional Data Warehouse or Database Management environment
Includes the orchestration of the ETL packages
Data Engineering solution
Includes the batch or real-time ingestion and transformation of data within a Big Data or Data Lake environment
Includes the orchestration of the Big Data codes
Reporting or Visualization objects
Includes the data preparation and the visualization, formatting of data, as well as the publication of reports to the Server/Cloud environment
Includes the definition of the reporting/visualization metadata – covering the data access, creation of queries or data extract, modelling and definition of fields and calculations
Conducts unit testing and troubleshooting
Leads the integration of the developed components
Assists in the User Acceptance Test activities with primary focus on the investigation of testing results/feedback
Provide maintenance and support services to the technical work products developed
Provides updates to the project manager regarding the status of activities
Raises any issues encountered to the team lead for immediate action and/or resolution
Assists in the creation and update of technical documentation. The expertise.

Expertise in reporting/visualization and data preparation components of the tools: Microsoft Power BI, Reporting Services, SAS Visual Analytics, SAS Enterprise Guide, Base SAS, Tableau OR
Expertise in any of the following data management solutions: Microsoft Integration Services, SAS Data Integration, Talend Data Integration, MapReduce, Python+Spark
Expertise in database management systems including tables, views, relationships, ER Diagrams
High proficiency in understanding and writing SQL Queries
High proficiency in database models for analytics
Has the capacity to continuously establish a deeper understanding of the best practices for development of work products for data management or reports/visualization
Has good communication and technical writing skills About us.

Thakral One is a consulting and technology services company headquartered in Singapore, with a pan-Asian presence. We focus primarily around technology-driven consulting, adoption of value-added bespoke solutions, enabling enhanced decision support through data analytics, and embracing possibilities in the cloud. We are heavily inclined towards building capabilities collaboratively with clients and believe strongly in improving grounded and practical outcomes. This approach is possible through our partnership with leading global technology providers and internal R&D teams. Our clients come from Financial Services, Banking, Telco, Government, Healthcare, and Consumer-oriented organisations.

The Data Engineer role involves the batch or real-time extraction, transformation, integration and loading of data within a traditional Data Warehouse or Database Management environment."
80,Senior Data Engineer,MediLink Network Inc.,3.1 out of 5 stars from 36 employee ratings,Makati,,"Job Description:
A Senior Data Engineer(CL2) is a more experienced data engineer who will help the company by enabling the business and its clients on designing, building and moving their data from operational and external environments to the business intelligence environment or any other designated target for analysis, consumption and utilization, driving real business impact, also helping businesses, both internal and external, ensure good data governance and data quality
Duties and Responsibilities:
Extract client data from different sources for processing, integration and business rule applications
Develop state of the art ETL jobs for transforming data depending on the client’s current business need
Ensure data quality and data integrity throughout the ingestion process
Develop data ingestion jobs for POCs leaning towards advanced business solutions
Support the overall end to end enterprise level data projects, both internally and externally
Assist associate data engineers and serve as a consultant in times of need
Qualifications:
Requires a Bachelor’s Degreein Engineering, Computer Science, Information Technology or other related field
At least 3 years of experience working on enterprise level solutions using enterprise ETL tools is required for this position
At least 2 years of experience working with FHIR and HL7v2 is required for this position
Knowledge in Python or any programming language strongly preferred
Knowledge in AWS, GCP, Big Data, Hadoop, Kafka, Spark or any other related technologies strongly preferred
Knowledge in SQL, PL/SQL or any other relational and non relational database strongly preferred
Familiarity with data modeling is highly preferred
Working knowledge in using linux environment is a big plus
Working knowledge in software development life cycle and agile/scrum methodology is preferred but not required
Natural problem solver and critical thinker
Detail oriented and highly adaptive
Good communication skills
Proactive
Fast learner
With personal Laptop/Desktop is HIGHLY PREFER
Job Type: Full-time
Benefits:
Health insurance
Work from home
Schedule:
8 hour shift
Supplemental pay types:
13th month salary
Overtime pay
Performance bonus
Ability to commute/relocate:
Makati City: Reliably commute or planning to relocate before starting work (Required)"
